title,time,genre,rating,description,votes,directors,stars,year,gross
License to Wed,91,Comedy,5.2,A reverend puts an engaged couple through a grueling marriage preparation course to see if they are meant to be married in his church.,39284,['Ken Kwapis'],"['Mandy Moore', 'John Krasinski', 'Robin Williams', 'Eric Christian Olsen']",2007,43800000.0
Licorice Pizza,133,Comedy,7.3,"The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973.",78358,['Paul Thomas Anderson'],"['Alana Haim', 'Cooper Hoffman', 'Sean Penn', 'Tom Waits']",2021,
Lie with Me,93,Drama,5.2,"An outgoing, sexually aggressive young woman meets and begins a torrid affair with an equally aggressive young man in which their affair begins to bring a strain on their personal lives.",15295,['Clement Virgo'],"['Lauren Lee Smith', 'Eric Balfour', 'Polly Shannon', 'Mayko Nguyen']",2005,
Life,108,Comedy,6.7,"In 1932, two strangers are wrongfully convicted and develop a strong friendship in prison that lasts them through the 20th century.",49884,['Ted Demme'],"['Eddie Murphy', 'Martin Lawrence', 'Obba Babatundé', 'Nick Cassavetes']",1999,63840000.0
Life,104,Horror,6.6,A team of scientists aboard the International Space Station discover a rapidly evolving life form that caused extinction on Mars and now threatens all life on Earth.,224659,['Daniel Espinosa'],"['Jake Gyllenhaal', 'Rebecca Ferguson', 'Ryan Reynolds', 'Hiroyuki Sanada']",2017,30230000.0
Life After Beth,89,Comedy,5.6,"A young man's recently deceased girlfriend mysteriously returns from the dead, but he slowly realizes she is not the way he remembered her.",21106,['Jeff Baena'],"['Aubrey Plaza', 'Dane DeHaan', 'John C. Reilly', 'Molly Shannon']",2014,80000.0
Life Is Sweet,103,Comedy,7.4,"A shop assistant, her cook husband, and their twin daughters ponder their lives over a few weeks in a working-class suburb north of London.",10244,['Mike Leigh'],"['Alison Steadman', 'Jim Broadbent', 'Claire Skinner', 'Jane Horrocks']",1990,1520000.0
Life Itself,117,Drama,6.8,"As a young New York City couple goes from college romance to marriage and the birth of their first child, the unexpected twists of their journey create reverberations that echo over continents and through lifetimes.",20989,['Dan Fogelman'],"['Oscar Isaac', 'Olivia Wilde', 'Annette Bening', 'Mandy Patinkin']",2018,4099999.0
Life Stinks,92,Comedy,5.9,"A filthy rich businessman bets a corporate rival that he can live on the streets of L.A. without the comforts of home or money, which proves to be tougher than he thought.",10428,['Mel Brooks'],"['Mel Brooks', 'Lesley Ann Warren', 'Jeffrey Tambor', 'Stuart Pankin']",1991,4099999.0
Life as We Know It,115,Comedy,6.5,Two single adults become caregivers to an orphaned girl when their mutual best friends die in an accident.,130629,['Greg Berlanti'],"['Katherine Heigl', 'Josh Duhamel', 'Josh Lucas', 'Alexis Clagett']",2010,53370000.0
Life as a House,125,Drama,7.5,"When a man is diagnosed with terminal cancer, he takes custody of his misanthropic teenage son, for whom quality time means getting high, engaging in small-time prostitution, and avoiding his father.",44047,['Irwin Winkler'],"['Hayden Christensen', 'Kevin Kline', 'Kristin Scott Thomas', 'Jena Malone']",2001,15650000.0
Life in a Metro,132,Comedy,7.4,"Six different stories, about nine people, each with different issues and problems, all occurring within one place: the METRO.",11933,['Anurag Basu'],"['Dharmendra', 'Irrfan Khan', 'Konkona Sen Sharma', 'Kay Kay Menon']",2007,150000.0
Life of Brian,94,Comedy,8.0,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",392335,['Jesus Christ'],"['Terry Jones', 'Graham Chapman', 'John Cleese', 'Michael Palin', 'Terry Gilliam']",1979,20050000.0
Life of Crime,98,Comedy,5.8,Two common criminals get more than they bargained for after kidnapping the wife of a corrupt real-estate developer who shows no interest in paying the $1 million dollar ransom for her safe return.,18788,['Daniel Schechter'],"['Jennifer Aniston', 'Yasiin Bey', 'Isla Fisher', 'Will Forte']",2013,260000.0
Life of Pi,127,Adventure,7.9,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",616171,['Ang Lee'],"['Suraj Sharma', 'Irrfan Khan', 'Adil Hussain', 'Tabu']",2012,124990000.0
Life of the Party,105,Comedy,5.5,"After her husband abruptly asks for a divorce, a middle-aged mother returns to college in order to complete her degree.",36822,['Ben Falcone'],"['Melissa McCarthy', 'Matt Walsh', 'Molly Gordon', 'Ben Falcone']",2018,52860000.0
Life or Something Like It,103,Comedy,5.7,"A reporter interviews a psychic, who tells her that she's going to die and her life is meaningless.",25858,['Stephen Herek'],"['Angelina Jolie', 'Edward Burns', 'Tony Shalhoub', 'Christian Kane']",2002,14450000.0
Lifeboat,97,Drama,7.6,Several survivors of a torpedoed merchant ship in World War II find themselves in the same lifeboat with one of the crew members of the U-boat that sank their ship.,28755,['Alfred Hitchcock'],"['Tallulah Bankhead', 'John Hodiak', 'Walter Slezak', 'William Bendix']",1944,
Lifeforce,101,Action,6.1,"A race of space vampires arrives in London and infects the populace, beginning an apocalyptic descent into chaos.",25310,['Tobe Hooper'],"['Steve Railsback', 'Mathilda May', 'Peter Firth', 'Frank Finlay']",1985,11600000.0
Light of My Life,119,Drama,6.6,"Parent and child journey through the outskirts of society a decade after a pandemic has wiped out half the world's population. As a father struggles to protect his child, their bond, and the character of humanity, is tested.",13224,['Casey Affleck'],"['Anna Pniowsky', 'Casey Affleck', 'Tom Bower', 'Elisabeth Moss']",2019,
Lights Out,81,Horror,6.3,"Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with a supernatural spirit attached to their mother.",126170,['David F. Sandberg'],"['Teresa Palmer', 'Gabriel Bateman', 'Maria Bello', 'Billy Burke']",2016,67270000.0
Lik wong,91,Action,7.0,"Riki-Oh, a young man who has superhuman strength, is incarcerated at a private prison, where inmates are treated like slaves, and is forced to use his unstoppable form of martial arts to destroy the corrupt officials and their lackeys.",13637,['Ngai Choi Lam'],"['Siu-Wong Fan', 'Mei Sheng Fan', 'Ka-Kui Ho', 'Yukari Ôshima']",1991,
Like Crazy,86,Drama,6.6,"A British college student falls for an American student, only to be separated from him when she's banned from the U.S. after overstaying her visa.",61447,['Drake Doremus'],"['Felicity Jones', 'Anton Yelchin', 'Jennifer Lawrence', 'Charlie Bewley']",2011,3410000.0
